A1BG
A2M
SERPINA3
AAMP
AARS
ABAT
ABCA1
ABCA2
ABCA3
ABCB7
ABCF1
ABCA4
ABL1
ABL2
ABR
ACAA1
ACACA
ACACB
ACADL
ACADM
ACADS
ACADVL
ACAT1
ACAT2
ASIC2
ASIC1
ACHE
ACO1
ACR
ACO2
ACOX1
ACP1
ACP2
ACP5
ACRV1
ACTA1
ACTA2
ACTB
ACTC1
ACTG1
ACTG2
ACTN4
ACTL6A
ACTN1
ACTN2
ACTN3
ACVR1
ACVR1B
ACVR2A
ACVR2B
ACVRL1
ACYP1
ACYP2
ADA
ADAM8
ADAM10
ADARB1
ADARB2
ADCY1
ADCY2
ADCY3
ADCY5
ADCY6
ADCY7
ADCY8
ADCY9
ADCYAP1
ADCYAP1R1
ADD1
ADD2
ADD3
ADH5
ADK
ADM
ADORA1
ADORA2B
ADORA3
ADPRH
PARP1
PARP4
ADRA1D
ADRA1B
ADRA1A
ADRA2A
ADRA2C
ADRB1
ADRB2
GRK2
GRK3
ADSL
ADSS
AP2A1
AP2A2
AP1B1
AP2B1
AP1G1
AEBP1
AES
AFG3L1P
AGA
ACAN
AGER
AGL
JAG1
AGT
APLNR
NR0B1
AHCY
AHR
AHSG
AIF1
CRYBG1
AK1
AK2
AKT1
AKT2
ALAD
ALAS1
ALAS2
ALB
ALCAM
ABCD1
ALDH1A1
ALDH2
ALDH1B1
ALDH1A3
ALDH3B1
ALDH9A1
ALDH3A2
ABCD2
ALDOB
ALDOC
AKR1B1
ALK
ALOX5
ALOX5AP
ALOX12B
ALOX12P2
ALOX15B
ALPI
ALPL
ALX3
AMBN
AMD1
AMH
AMPD2
AMPD3
AMPH
BIN1
AMT
ANG
ANGPT1
ANGPT2
ANK1
ANK2
ANK3
SLC25A4
SLC25A5
SLC25A6
ANXA1
ANXA2
ANXA2P1
ANXA2P3
ANXA3
ANXA4
ANXA5
ANXA6
ANXA11
AOAH
AOC2
AOX1
APAF1
NUDT2
APBA1
APBA2
APBB1
APBB2
APC
AIRE
APEH
APEX1
BIRC3
BIRC5
APLP1
APLP2
APOC1
APOD
APOE
FAS
SHROOM2
AQP1
AQP3
AQP4
AQP5
AQP6
AQP9
AR
ARAF
ARCN1
TRIM23
AREG
ARF1
ARF3
ARL4D
ARF5
ARG1
ARG2
RHOA
RHOB
RHOC
RND3
RHOG
ARHGAP1
ARHGAP4
ARHGAP5
ARHGAP6
ARHGDIA
ARHGDIB
ARHGDIG
ARL2
ARL3
ARNT
ARNTL
ARRB1
ARRB2
ARSA
ARSB
STS
ARSD
ARSE
ARSF
ART3
ARVCF
ASCL1
ASCL2
ASGR1
ASGR2
ASIP
ASL
ASNA1
ASPA
ASPH
ASS1
ASTN1
ATF1
ATF3
ATF4
ATIC
ATM
RERE
ATOX1
ATP1A1
ATP1A2
ATP1A3
ATP1B1
ATP1B2
ATP1B3
ATP2A2
ATP2B1
ATP2B2
ATP2B3
ATP2B4
ATP4A
ATP5F1A
ALDH7A1
ATP5F1B
ATP5MC1
ATP5MC2
ATP5MC3
ATP5ME
ATP5PF
ATP6V1A
ATP6V1B2
ATP6V0C
ATP6V1C1
ATP6V1E1
ATP6V0B
ATP6V1G2
ATP6V0A1
ATP6AP1
ATP7A
ATP5PO
ATP7B
ATR
ATRX
KIF1A
AUH
AVP
AXL
AZGP1
AZU1
B2M
BAAT
BACH1
BAD
BAG1
ADGRB1
ADGRB2
ADGRB3
BAK1
BARD1
BBS1
BBS2
BBS4
BCAT1
BCAT2
BCHE
BCKDHB
CCND1
BCL2
BCL2A1
BCL2L2
BCL3
BCL6
BCL7A
BCL9
HCN2
BCR
BDH1
BDKRB1
BDKRB2
BDNF
CFB
BFSP1
BGN
BHMT
BICD1
BID
PRDM1
BLM
BLMH
BLVRA
BMP1
BMP2
BMP3
BMP4
BMP6
BMP7
BMPR1A
BMPR1B
BMPR2
POLR3D
BNIP1
BNIP2
BNIP3
BNIP3L
BOK
DST
FOXL2
BPGM
BPHL
BRCA1
ZFP36L1
ZFP36L2
BST1
BST2
BTC
BTD
KLF9
KLF5
BTF3
BTF3P11
BTG1
BUB1B
BYSL
TSPO
C1QBP
SERPING1
C1QA
C1QB
C1QC
C1R
C1S
C2
C3
C3AR1
CAPN5
C5
C5AR1
C7
OSGIN2
VPS51
MRPL49
MPPED2
MYRF
TMEM258
DAGLA
FMNL1
LDLRAD4
PTTG1IP
TMEM50B
MPPED1
CA2
CA4
CA7
CA8
CA11
CA12
CACNA1A
CACNA1B
CACNA1C
CACNA1D
CACNA1E
CACNA1F
DDR1
CACNA2D1
CACNB1
CACNB2
CACNB3
CACNB4
CACNG1
SLC25A20
CAD
CALB1
CALB2
CALCB
CALCR
CALD1
CALM1
CALM2
CALM3
CALML3
CALR
CALU
CAMK4
CAMK2A
CAMK2B
CAMK2D
CAMK2G
CAMLG
CANX
CAPG
CAPN1
CAPN2
CAPN3
CAPNS1
CAPS
CAPZA1
CAPZA2
CAST
CAPZB
CARS
CASP1
CASP2
CASP3
CASP4
CASP5
CASP6
CASP7
CASP9
CASP10
CASQ1
CASQ2
CAT
CAV1
CAV2
RUNX2
RUNX1
RUNX1T1
CBFA2T3
CBFB
CBLB
CBLN1
SERPINH1
CBR1
CBR3
CCIN
KYAT1
CCK
CCKBR
KRIT1
CCNA2
CCNB1
CCNC
CCND2
CCND3
CCNE1
CCNF
CCNG1
CCNG2
CCNH
CCNT2
CD2
CD247
CD4
CD5
CD6
CD8A
CD8B
CD9
CD14
CD19
CD22
CD27
CD86
TNFRSF8
CD33
CD34
CD36
SCARB1
SCARB2
CD37
CD38
ENTPD1
ENTPD6
ENTPD3
ENTPD5
CD40
CD44
CD47
CD53
CD58
CD59
CD63
CD68
CD69
CD70
CD74
CD81
ADGRE5
CD151
LRBA
CDC5L
CDC6
CDC20
CDC25B
CDC27
CDC34
CDC42
CDH1
CDH2
CDH3
CDH4
CDH6
CDH7
CDH8
CDH9
CDH10
CDH11
CDH12
CDH13
CDH16
CDH18
CDK4
CDK5
CDK6
CDK7
CDK9
CDKN1A
CDKN1B
CDKN1C
CDKN2A
CDKN2B
CDKN2C
CDKN2D
CDKN3
CDO1
CDR1
CDR2
CDS1
CD52
CLGN
CEBPA
CEBPB
CEBPD
CEBPE
CEBPG
CENPB
CENPC
CENPE
CENPF
CETN2
CETN3
CETP
CFL1
CFL2
CTSC
CFTR
CHAD
RCBTB2
CHAT
RCC1
CHD1
CHD2
CHD3
CHD4
CHEK1
FOXN3
CHGA
CHGB
CHI3L1
CHIT1
CHKA
CHM
CHML
CHN1
CHN2
CHRM1
CHRM2
LYST
CHRM3
CHRM5
CHRNA2
CHRNA3
CHRNA4
CHRNA7
CHRNB1
CHRNB3
CHUK
CIDEA
CKB
CIRBP
TBCB
CKMT1B
CKMT2
CKS1B
CKS2
AP2M1
AP1S1
AP2S1
AP3S1
CLCN2
CLCN4
CLCN5
CLCN6
CLU
CLIC1
CLIC2
CLK1
CLK2
CLK3
TPP1
CLN3
CLN5
CLNS1A
CLPS
CLTA
CLTB
CLTC
CCR1
CCR3
CCR5
CCR7
CMKLR1
CNGB1
CNGA3
PLK3
CNN1
CNN2
CNN3
CNP
CNR1
CNTFR
CNTN1
COL1A1
COL1A2
COL3A1
COL4A1
COL4A2
COL4A3
COL4A4
COL4A5
COL5A1
COL5A2
COL6A1
COL6A2
COL7A1
COL8A1
COL8A2
COL9A1
COL9A2
COL9A3
COL10A1
COL11A1
COL11A2
COL12A1
COL13A1
COL16A1
COL19A1
COMT
COPA
COPB1
KLF6
SLC31A1
SLC31A2
CORT
MAP3K8
COX4I1
COX6A1
COX6A2
COX7A1
COX7A2
COX7B
COX7C
COX8A
COX10
COX11
COX15
CP
CPD
